MSA,MSA Title,Counties
14500,"Boulder, CO",Boulder County
16180,"Carson City, NV",Carson City
17860,"Columbia, MO",Boone County
19500,"Decatur, IL",Macon County
22420,"Flint, MI",Genesee County
23580,"Gainesville, GA",Hall County
24780,"Greenville, NC",Pitt County
26300,"Hot Springs, AR",Garland County
33700,"Modesto, CA",Stanislaus County
34940,"Naples-Immokalee-Marco Island, FL",Collier County
35300,"New Haven-Milford, CT",New Haven County
35980,"Norwich-New London, CT",New London County
11700,"Asheville, NC","Buncombe County, Haywood County, Henderson County, Madison County"
39740,"Reading, PA",Berks County
40980,"Saginaw, MI",Saginaw County
42680,"Sebastian-Vero Beach, FL",Indian River County
46340,"Tyler, TX",Smith County
19740,"Denver-Aurora-Lakewood, CO","Adams County, Arapahoe County, Broomfield County, Clear Creek County, Denver County, Douglas County, Elbert County, Gilpin County, Jefferson County, Park County"
16020,"Cape Girardeau, MO-IL","Alexander County, Bollinger County, Cape Girardeau County"
12020,"Athens-Clarke County, GA","Clarke County, Madison County, Oconee County, Oglethorpe County"
12420,"Austin-Round Rock, TX","Bastrop County, Caldwell County, Hays County, Travis County, Williamson County"
33860,"Montgomery, AL","Autauga County, Elmore County, Lowndes County, Montgomery County"
33740,"Monroe, LA","Ouachita Parish, Union Parish"
16740,"Charlotte-Concord-Gastonia, NC-SC","Cabarrus County, Gaston County, Iredell County, Lincoln County, Mecklenburg County, Rowan County, Union County, Chester County, Lancaster County, York County"
28660,"Killeen-Temple, TX","Bell County, Coryell County, Lampasas County"
18580,"Corpus Christi, TX","Aransas County, Nueces County, San Patricio County"
13140,"Beaumont-Port Arthur, TX","Hardin County, Jefferson County, Newton County, Orange County"
10420,"Akron, OH","Portage County, Summit County"
25420,"Harrisburg-Carlisle, PA","Cumberland County, Dauphin County, Perry County"
28140,"Kansas City, MO-KS","Johnson County, Leavenworth County, Linn County, Miami County, Wyandotte County, Bates County, Caldwell County, Cass County, Clay County, Clinton County, Jackson County, Lafayette County, Platte County, Ray County"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL","Broward County, Miami-Dade County, Palm Beach County"
31540,"Madison, WI","Columbia County, Dane County, Green County, Iowa County"
30700,"Lincoln, NE","Lancaster County, Seward County"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY","Erie County, Niagara County"
20500,"Durham-Chapel Hill, NC","Chatham County, Durham County, Orange County, Person County"
31180,"Lubbock, TX","Crosby County, Lubbock County, Lynn County"
20020,"Dothan, AL","Geneva County, Henry County, Houston County"
10740,"Albuquerque, NM","Bernalillo County, Sandoval County, Torrance County, Valencia County"
